,google_result,youtube_link,youtube_channel_link
0,https://www.google.com/url?sa=t&source=web&rct=j&url=https://www.youtube.com/c/OpeninApp&sa=U&ved=2ahUKEwjKxvu1h53_AhUzkIQIHbVsD0IQtwJ6BAgJEAI&usg=AOvVaw3W0nBi-XoxBrb5hKVEg9uV,https://www.youtube.com/c/OpeninApp,https://www.youtube.com/channel/UCIGDcUqL2kKMdJCpIr_dfxg
1,https://www.google.com/url?sa=t&source=web&rct=j&url=https://www.youtube.com/hashtag/openinapp&sa=U&ved=2ahUKEwjKxvu1h53_AhUzkIQIHbVsD0IQFnoECAQQAg&usg=AOvVaw3mS4_oBWbGEF8x4x49WaGl,https://www.youtube.com/hashtag/openinapp,No link
2,https://www.google.com/url?sa=t&source=web&rct=j&url=https://www.youtube.com/watch%3Fv%3DvOo-VyPIiW0&sa=U&ved=2ahUKEwjKxvu1h53_AhUzkIQIHbVsD0IQtwJ6BAgIEAE&usg=AOvVaw0TLqSfPhba0KjJ2LDP2C0-,https://www.youtube.com/watch?v=vOo-VyPIiW0,http://www.youtube.com/@spksunny
3,https://www.google.com/url?sa=t&source=web&rct=j&url=https://www.youtube.com/watch%3Fv%3DO6lup3SN4Bw&sa=U&ved=2ahUKEwjKxvu1h53_AhUzkIQIHbVsD0IQtwJ6BAgAEAE&usg=AOvVaw0zEDaTx1S2kY4UWaXl1kOq,https://www.youtube.com/watch?v=O6lup3SN4Bw,http://www.youtube.com/@OpeninApp
4,https://www.google.com/url?sa=t&source=web&rct=j&url=https://www.youtube.com/watch%3Fv%3D-GvsoRszRt4&sa=U&ved=2ahUKEwjKxvu1h53_AhUzkIQIHbVsD0IQtwJ6BAgBEAE&usg=AOvVaw24uCncXGwxSG2QZO9FXkrV,https://www.youtube.com/watch?v=-GvsoRszRt4,http://www.youtube.com/@OpeninApp
5,https://www.google.com/url?sa=t&source=web&rct=j&url=https://www.youtube.com/channel/UClOQrZIZQZojI3CmJ3jC2eg&sa=U&ved=2ahUKEwjKxvu1h53_AhUzkIQIHbVsD0IQtwJ6BAgGEAI&usg=AOvVaw1v79dXviM0kTqMWTKsB6nK,https://www.youtube.com/channel/UClOQrZIZQZojI3CmJ3jC2eg,https://www.youtube.com/channel/UClOQrZIZQZojI3CmJ3jC2eg
6,https://www.google.com/url?sa=t&source=web&rct=j&url=https://www.youtube.com/watch%3Fv%3DPWiFT3CLCEo&sa=U&ved=2ahUKEwjKxvu1h53_AhUzkIQIHbVsD0IQtwJ6BAgDEAE&usg=AOvVaw2co6Qy2KXPlEsvwHuuI4dH,https://www.youtube.com/watch?v=PWiFT3CLCEo,http://www.youtube.com/@ALIGARH.TOWN.VLOGS.0036
7,https://www.google.com/url?sa=t&source=web&rct=j&url=https://www.youtube.com/watch%3Fv%3DNjo_GPYbTvY&sa=U&ved=2ahUKEwjKxvu1h53_AhUzkIQIHbVsD0IQtwJ6BAgFEAE&usg=AOvVaw1I295omMak9UbH47l3RCmb,https://www.youtube.com/watch?v=Njo_GPYbTvY,http://www.youtube.com/@inspiringprashant
8,https://www.google.com/url?sa=t&source=web&rct=j&url=https://www.youtube.com/post/UgkxkNMzcb3UCWm4sfl1TtmpUE9eRv_qGnSj&sa=U&ved=2ahUKEwjKxvu1h53_AhUzkIQIHbVsD0IQFnoECAIQAg&usg=AOvVaw2ZIwmlWZHu5EFx4HzjsRil,https://www.youtube.com/post/UgkxkNMzcb3UCWm4sfl1TtmpUE9eRv_qGnSj,https://www.youtube.com/channel/UC9DzOATDbpkhZgi1E52FnVQ
9,https://www.google.com/url?sa=t&source=web&rct=j&url=https://www.youtube.com/watch%3Fv%3DJycdHvLtUnM&sa=U&ved=2ahUKEwjKxvu1h53_AhUzkIQIHbVsD0IQtwJ6BAgHEAE&usg=AOvVaw3YpDFmgEEAXhvYeg8Zltta,https://www.youtube.com/watch?v=JycdHvLtUnM,http://www.youtube.com/@daytradertelugu
10,https://www.google.com/url?sa=t&source=web&rct=j&url=https://www.youtube.com/watch%3Fv%3Dtr5tmXA4QYc&sa=U&ved=2ahUKEwilu462h53_AhUbVTABHSMLAGI4ChC3AnoECAMQAQ&usg=AOvVaw3_QAAsDRgHRVs7zNEigA4C,https://www.youtube.com/watch?v=tr5tmXA4QYc,http://www.youtube.com/@finshowbynehanagar94
